微博id,微博正文/转发理由,是否原创,情感得分
IoHVEwUW5,转发理由:年少，有不顾一切的热爱。#中国女排推广曲MV#  ,FALSE,1
IoGzf66Vf,转发理由:你，听见世界的声音了吗？#微博十年 不止一面#  ,FALSE,1
IoyyFdY7i,红，是力量与光彩，是经典与质感，是炽热与浓烈，是@阿玛尼 传奇红管。阿玛尼的微博视频  ,TRUE,1
IovXG3ndR,转发理由:很高兴加入@阿玛尼   ,FALSE,1
IodsXvUmD,寻找无限可能，铭刻旅途美景。新的一年，和我一起为旅行增加更多色彩。#RIMOWAessential# @RIMOWA日默瓦  原图 ,TRUE,1
InF1TeQVC,转发理由:#星辰大海演员计划# 仰望梦想，我们起航，努力前行！  ,FALSE,1
InEMefIBi,转发理由:#happyNEOyear# 和我一起加入#生来好动#的@adidasneo ，在新的一年闯关升级，玩“新”大发  ,FALSE,1
Innoc54uL,转发理由:好  ,FALSE,1
ImKlyveyb,转发理由:新歌听起来  ,FALSE,1
ImxUm4DzL,武亦是舞，打破想象与界限和我一起#新年造万象#  @adidasOriginalsadidas视频的微博视频  ,TRUE,1
ImeHbaPpn,转发理由:#朋友请听好# 广播新人报到，我们用声音交朋友，等你来@朋友请听好 #给何炅谢娜千玺取团名#//@谢娜:#朋友请听好#  好期待我们的广播小站，快来电和我分享你的故事 哇!这是什么神仙组合对不对，那么先  #给何炅谢娜千玺取团名# 吧 @TFBOYS-易烊千玺  ,FALSE,1
Im9IcnJHg,第一次个人演唱会，希望可以尝试些不一样的，也希望通过这场演唱会，和大家分享一些自己的看法和态度。很开心也很感动，谢谢大家的到来，谢谢一直支持我的你们，谢谢台前幕后的每一位工作人员。每个人，都是独一无二的，愿大家都能保持住自己的个性。  [组图共4张] 原图 ,TRUE,1
Im5lX75wS,在冷静和热情之间，用#华为nova6#拍出大不一样。#自拍大不一样#  [组图共2张] 原图 ,TRUE,1
Im0a5CJrD,感谢昂司蛋糕的设计师团队，这款演唱会蛋糕和“封闭货车”的设计很酷，蛋糕味道很赞，希望以后可以和大家分享更多美好。@ANGSI昂司蛋糕颜究所  原图 ,TRUE,1
IlZHe9yuu,谢谢你们今天来看我的演唱会，希望能给你们留下独一无二的回忆。大家早点回家，注意安全～ TFBOYS-易烊千玺的微博视频  ,TRUE,1
IlUtMz2yh,现场见 绿洲  原图 ,TRUE,1
IlCI7AE3c,每个人都有自己的温差。每一种温度，都是一种可能。QQ音乐：温差感酷狗音乐：http://t.cn/AikLFqnJ酷我音乐：http://t.cn/AikLFqn6咪咕音乐：http://t.cn/AikLFqnb  原图 ,TRUE,1
IltVomLfN,保持棱角，保持独特。 TFBOYS-易烊千玺的微博视频  ,TRUE,1
IlomqDCHL,转发理由:感谢@新周刊 颁发给我2019中国年度新锐榜“年度新锐人物”这份荣誉，很开心得到这份认可，我会继续努力，做更多新的尝试和挑战。  ,FALSE,1
IkyGR8LfW,转发理由:#国家公祭日#铭记历史，祭奠同胞，珍爱和平，吾辈自强！//@TFBOYS组合:#国家公祭日#铭记历史，珍爱和平，吾辈当自强  ,FALSE,1
Iksd3nvxt,齐了#华为nova6##自拍大不一样#  原图 ,TRUE,1
IjWNazzxj,嘘，秘密。#最美表演# 最美表演的微博视频  ,TRUE,1
IjO5NsSpc,转发理由:跟舒淇姐合作很开心//@舒淇:千璽 千禧  ～  ,FALSE,1
IjvDwudZn,我支持@angelica张宇 @Vogue服饰与美容 发起的环保呼吁，我倡导纸张双面打印，减少纸张浪费。与我一起，加入#Vogue环保打卡#的行列，从小事做起，将保护自然的力量不断传递，#此刻即未来#。  原图 ,TRUE,1
IjmdJnxPm,转发理由:与@angelica张宇 @Vogue服饰与美容 共同致力环保，加入#Vogue环保打卡#，从此刻做起。#此刻即未来#  ,FALSE,1
IilTPaivq,19岁的第一天  原图 ,TRUE,1
IiljhBh81,12月22日，上海见！  原图 ,TRUE,1
IihiyuyLZ,在冷静和热情之间，以适合自己的温度存在。 绿洲  原图 ,TRUE,1
IicZv9RLp,今天是我的生日，来祝福我吧！  ,TRUE,1
IhzM95CC5,转发理由:祝师弟们出道快乐，全新征程开启，坚持自己内心的热爱，未来有更多精彩在等待你们！  ,FALSE,1
IgZhA86EJ,分享图片 绿洲  原图 ,TRUE,1
IgmX9k5Bv,时装与电影，定格时光，记录经典。#VogueFilm时装电影盛典#@Vogue服饰与美容@VogueFilm  [组图共3张] 原图 ,TRUE,1
Igk5ejmWb,转发理由:转发微博 查看图片  ,FALSE,1
IfTwa4msU,用镜头语言传承经典，以电影故事解读时间的影像，11月14日见。#VogueFilm时装电影盛典##VogueFilm时装电影月#@angelica张宇@VOGUE服饰与美容@VogueFilm  原图 ,TRUE,1
IfA0A03xu,今晚七点半，天猫#双11狂欢夜#，舞台见！  原图 ,TRUE,1
Ifng0CX3Y,转发理由:#火焰蓝一周年# 让我们一起提高森林防火意识，关注森林消防英雄群体！  ,FALSE,1
IfafmAREq,祝@TFBOYS-王源 19岁生日快乐，希望源哥在外一切顺利，越来越酷！  原图 ,TRUE,1
If5YciOHD,每个人都拥有无限的灵感与可能，都能够大放异彩，活出年轻，让愿望11实现。来@evian依云中国 天猫依云官方旗舰店 evian依云官方旗舰店 ，发现限量彩虹水滴瓶。  原图 ,TRUE,1
IeLaUnmza,转发理由:一起行动起来，为进博会添上一抹青春亮色！  ,FALSE,1
IeoZveZKU,2000拥有什么样的力量？ @欧乐B「净」界大片，告诉你答案。11月4日欧乐B品牌发布会，一起探索欧乐B的极致「净」界，见证心愿实现。  #净界 不止所见# 欧乐B的秒拍视频  ,TRUE,1
IelCu97Q3,转发理由:#父母看完少年的你# 和你说了什么？  ,FALSE,1
IejIrolod,转发理由:恭喜凯哥演唱会圆满成功～  ,FALSE,1
Ie6kCEYZk,转发理由:少年没做完的梦，我们一同追赶。  ,FALSE,1
Ie1Dgl9YA,11月1日#中国味零食秀# ，@百草味 用零食跨界演绎中国味，我们杭州见。http://t.cn/Ai1ut7wd  原图 ,TRUE,1
IdCFslBQB,再次回忆18年夏天的重庆，燥热、潮湿、压抑，也有些许幸福——离上次来重庆已经两年过去了，拍摄地和酒店也在几年前训练的公司附近，每次上下班路上总能看到以前爱去的店铺，想到我还像个小不点的那个时候最爱吃的抄手，公司楼下的小吃店，鸭腿、馄饨、小面一顿一顿地吃。回忆这感觉的时候……有点熟...全文 ,TRUE,1
Idq4d1LIE,当每一个人都贡献力量，我们就能保护少年，保护世界。#电影少年的你# TFBOYS-易烊千玺的微博视频  ,TRUE,1
IcNd4eOgU,我是@欧乐B 品牌代言人易烊千玺，和我一起探索欧乐B的极致「净」界，2000的时代，正来临。#净界 不止所见#  原图 ,TRUE,1
IczqQgCkK,简单、纯粹，是属于每个人的I Adore You. TFBOYS-易烊千玺的微博视频  ,TRUE,1
